Answer to Q1,Answer to Q2,Answer to Q3,Answer to Q4,Answer to Q5,Respondent's Age,Respondent's Gender,Respondent's Occupation
5,1,10,Difference-honoring feminism,Not a mother,21,Female,College Student
10,1,7,Difference-denying feminism,Not a mother,21,Female,College Student
4,1,8,Difference-honoring feminism,Not a mother,21,Male,College Student
7,1,10,Difference-denying feminism,Not a mother,21,Female,College Student
5,1,10,Difference-honoring feminism,Is a mother,48,Female,Software Engineer
7,3,10,Difference-denying feminism,Not a mother,20,Male,College Student
8,1,10,Difference-honoring feminism,Not a mother,21,Female,College Student
6,1,10,Difference-honoring feminism,Not a mother,16,Female,High School Student
10,1,5,Difference-denying feminism,Not a mother,21,Female,College Student
3,1,8,Difference-honoring feminism,Not a mother,21,Male,College Student
